46,WE/EU,ROM,62.0,45.0,41.0,38.0,42.0,9,9.34,3.11,36,62,41,51,46,8972.92
45,MENA,OMN,23.0,,50.0,38.0,52.0,5,14.97,6.69,23,62,34,56,45,15550.68
44,WE/EU,ITA,,54.0,41.0,38.0,42.0,7,6.63,2.51,35,54,40,48,44,29957.8
44,SSA,LSO,40.0,,,,63.0,5,11.15,4.99,35,63,36,52,44,1066.99
44,ECA,MON,53.0,,,,32.0,4,9.75,4.88,32,53,36,52,44,6406.07
44,SSA,SEN,53.0,38.0,41.0,54.0,32.0,8,7.38,2.61,32,54,40,48,44,899.58
44,SSA,ZAF,45.0,41.0,41.0,54.0,42.0,7,6.91,2.61,34,54,40,48,44,5723.97
42,SSA,STP,,,,,32.0,3,8.66,5.0,32,47,34,50,42,1669.06
42,ECA,TUR,45.0,33.0,41.0,38.0,42.0,8,5.72,2.02,33,53,39,45,42,9125.69
41,WE/EU,BGR,53.0,32.0,41.0,38.0,42.0,9,7.28,2.43,32,53,37,45,41,6993.48
41,AME,JAM,36.0,48.0,41.0,38.0,42.0,6,4.12,1.68,36,48,38,44,41,5232.02
40,ECA,SCG,58.0,27.0,31.0,38.0,42.0,7,10.33,3.9,27,58,34,46,40,5235.14
39,AME,SLV,45.0,29.0,41.0,38.0,42.0,6,5.54,2.26,29,45,35,43,39,4219.35
39,AP,MNG,36.0,35.0,31.0,38.0,42.0,8,4.99,1.76,31,47,36,42,39,3967.83
39,AME,PAN,36.0,34.0,31.0,38.0,52.0,6,7.37,3.01,31,52,34,44,39,13268.11
39,AME,TTO,,,31.0,38.0,52.0,4,9.29,4.65,31,52,31,47,39,17321.88
38,ECA,BIH,40.0,34.0,,38.0,42.0,6,4.2,1.71,32,42,35,41,38,4249.33
38,AME,BRA,62.0,34.0,31.0,38.0,52.0,7,13.99,5.29,25,62,29,47,38,8677.77
38,SSA,BFA,32.0,28.0,41.0,,42.0,7,7.87,2.97,28,47,33,43,38,589.77
38,AP,IND,45.0,25.0,41.0,38.0,32.0,8,8.89,3.14,25,54,33,43,38,1593.26
38,AP,THA,40.0,26.0,31.0,38.0,42.0,8,6.0,2.12,26,43,35,41,38,5814.77
38,MENA,TUN,28.0,38.0,41.0,38.0,42.0,6,5.31,2.17,28,42,34,42,38,3872.51
38,SSA,ZMB,28.0,36.0,41.0,38.0,32.0,8,7.23,2.56,28,50,34,42,38,1304.88
37,SSA,BEN,32.0,,,,32.0,5,9.91,4.43,25,47,30,44,37,762.05
37,AP,CHN,36.0,28.0,31.0,38.0,32.0,8,6.63,2.34,28,49,33,41,37,8069.21
37,AME,COL,45.0,33.0,41.0,38.0,32.0,7,5.13,1.94,31,45,34,40,37,6056.15
37,SSA,LBR,45.0,14.0,41.0,,32.0,7,11.18,4.23,14,45,30,44,37,455.87
37,AP,LKA,28.0,34.0,41.0,38.0,42.0,7,5.53,2.09,28,44,34,40,37,3926.17
36,ECA,ALB,36.0,18.0,41.0,38.0,32.0,7,9.48,3.58,18,49,30,42,36,3945.22
36,MENA,DZA,36.0,,31.0,38.0,42.0,5,4.15,1.86,31,42,33,39,36,4154.12
36,MENA,EGY,32.0,35.0,31.0,38.0,32.0,6,6.05,2.47,31,47,32,40,36,3614.75
36,AP,IDN,36.0,17.0,50.0,38.0,32.0,8,9.58,3.39,17,50,30,42,36,3346.49
36,MENA,MAR,28.0,22.0,41.0,38.0,42.0,6,9.44,3.85,22,47,30,42,36,2926.14
36,AME,PER,45.0,24.0,31.0,38.0,42.0,7,8.06,3.05,24,45,31,41,36,6027.13
36,AME,SUR,,,31.0,,42.0,3,5.57,3.22,31,42,31,41,36,9485.32
35,ECA,ARM,28.0,,31.0,,32.0,5,6.66,2.98,28,45,30,40,35,3489.13
35,SSA,MLI,32.0,,31.0,,42.0,6,4.63,1.89,31,42,32,38,35,724.26
35,AME,MEX,28.0,20.0,21.0,38.0,42.0,8,17.0,6.01,20,73,25,45,35,9005.02
35,AP,PHL,36.0,23.0,41.0,38.0,32.0,8,5.42,1.92,23,41,32,38,35,2904.2
34,AME,BOL,36.0,20.0,31.0,38.0,42.0,7,9.48,3.58,20,47,28,40,34,3076.79
34,SSA,DJI,,,,,52.0,3,15.72,9.08,23,52,19,49,34,1945.12
34,SSA,GAB,,,31.0,38.0,32.0,4,3.3,1.65,31,38,31,37,34,8266.45
