Rank,CPI2015,Country,Region,wbcode,World Economic Forum EOS,Bertelsmann Foundation TI,African Dev Bank,IMD World Competitiveness Yearbook,Bertelsmann Foundation SGI,World Justice Project ROL,PRS International Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT,Number of Sources,Std Deviation of Sources,Standard Error,Minimum,Maximum,Lower CI,Upper CI,CPI 2015,GDP per capita
45,53,Jordan,MENA,JOR,60.0,40.0,,65.0,,51.0,50.0,54.0,52.0,,,7,7.93,3.0,40,65,48,58,53,4940.05
45,53,Mauritius,SSA,MUS,56.0,49.0,,,,,,54.0,52.0,,,4,2.99,1.5,49,56,51,55,53,9252.11
45,53,Namibia,SSA,NAM,48.0,49.0,,,,,50.0,54.0,63.0,,,5,6.14,2.75,48,63,48,58,53,4673.57
48,52,Georgia,ECA,GEO,69.0,53.0,,,,62.0,,,32.0,,44.0,5,14.61,6.53,32,69,41,63,52,3795.97
48,52,Saudi Arabia,MENA,SAU,77.0,36.0,,,,,50.0,54.0,42.0,,,5,15.72,7.03,36,77,40,64,52,20481.75
50,51,Bahrain,MENA,BHR,80.0,36.0,,,,,50.0,38.0,52.0,,,5,17.58,7.86,36,80,38,64,51,22600.21
50,51,Croatia,WE/EU,HRV,46.0,62.0,,41.0,57.0,50.0,50.0,54.0,52.0,,50.0,9,6.06,2.02,41,62,48,54,51,11535.83
50,51,Hungary,WE/EU,HUN,47.0,53.0,,34.0,41.0,44.0,50.0,71.0,63.0,,52.0,9,11.19,3.73,34,71,45,57,51,12363.54
54,50,Malaysia,AP,MYS,64.0,49.0,,53.0,,40.0,41.0,54.0,42.0,56.0,,8,8.48,3.0,40,64,45,55,50,9768.33
55,49,Kuwait,MENA,KWT,52.0,40.0,,,,,50.0,38.0,63.0,,,5,10.09,4.51,38,63,42,56,49,29300.58
56,47,Cuba,AME,CUB,,40.0,,,,,41.0,54.0,52.0,,,4,7.27,3.64,40,54,41,53,47,7650.23
56,47,Ghana,SSA,GHA,33.0,45.0,55.0,,,37.0,50.0,54.0,52.0,,,8,7.98,2.82,33,55,42,52,47,1369.7
58,46,Greece,WE/EU,GRC,45.0,,,43.0,57.0,50.0,41.0,21.0,63.0,,,7,13.45,5.08,21,63,38,54,46,18002.23
58,46,Romania,WE/EU,ROM,36.0,62.0,,37.0,57.0,45.0,41.0,38.0,42.0,,52.0,9,9.34,3.11,36,62,41,51,46,8972.92
60,45,Oman,MENA,OMN,62.0,23.0,,,,,50.0,38.0,52.0,,,5,14.97,6.69,23,62,34,56,45,15550.68
61,44,Italy,WE/EU,ITA,47.0,,,35.0,49.0,54.0,41.0,38.0,42.0,,,7,6.63,2.51,35,54,40,48,44,29957.8
61,44,Lesotho,SSA,LSO,38.0,40.0,42.0,,,,,,63.0,,,5,11.15,4.99,35,63,36,52,44,1066.99
61,44,Montenegro,ECA,MON,50.0,53.0,,,,,,,32.0,,39.0,4,9.75,4.88,32,53,36,52,44,6406.07
61,44,Senegal,SSA,SEN,43.0,53.0,45.0,,,38.0,41.0,54.0,32.0,,,8,7.38,2.61,32,54,40,48,44,899.58
61,44,South Africa,SSA,ZAF,52.0,45.0,,34.0,,41.0,41.0,54.0,42.0,,,7,6.91,2.61,34,54,40,48,44,5723.97
66,42,Sao Tome and Principe,SSA,STP,,,47.0,,,,,,32.0,,,3,8.66,5.0,32,47,34,50,42,1669.06
66,42,Turkey,ECA,TUR,53.0,45.0,,42.0,41.0,33.0,41.0,38.0,42.0,,,8,5.72,2.02,33,53,39,45,42,9125.69
